"race","circuit","season","date","driver_name","driver","number","car","position","starting_grid","laps","points","time_total","time_from_leader","time_from_previous","fastest_lap","average_speed","qualify_time","qualify_lap","stop_total","stop_lap_1","stop_lap_2","stop_lap_3","stop_lap_4","stop_lap_5","stop_lap_6","stop_time_1","stop_time_2","stop_time_3","stop_time_4","stop_time_5","stop_time_6"
"Australia","Melbourne Grand Prix Circuit, Australia",1999,"07 Mar 1999","Eddie","Irvine",4,"Ferrari","1",6,57,10,"1:35:01.659",NA,NA,"1:33.560",204.048,"1:32.289",12,1,34,NA,NA,NA,NA,NA,"24.474",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1999,"07 Mar 1999","Heinz-Harald","Frentzen",8,"Jordan Mugen Honda","2",5,57,6,"1:35:02.684","1.026","1.02500009536743","1:33.378",204.446,"1:32.276",11,1,34,NA,NA,NA,NA,NA,"24.63",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1999,"07 Mar 1999","Ralf","Schumacher",6,"Williams Supertec","3",8,57,4,"1:35:08.671","7.012","5.98699998855591","1:33.407",204.382,"1:32.691",10,1,33,NA,NA,NA,NA,NA,"24.89",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1999,"07 Mar 1999","Giancarlo","Fisichella",9,"Benetton Playlife","4",7,57,3,"1:35:35.076","33.418","26.4049999713898","1:33.657",203.837,"1:32.540",12,2,18,37,NA,NA,NA,NA,"37.052","25.52",NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1999,"07 Mar 1999","Rubens","Barrichello",16,"Stewart Ford","5",4,57,2,"1:35:56.355","54.697","21.279000043869","1:32.894",205.511,"1:32.148",12,3,22,31,32,NA,NA,NA,"25.027","26.345","26.335",NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1999,"07 Mar 1999","Pedro","delaRosa",14,"Arrows","6",18,57,1,"1:36:25.974","84.316","29.6189999580383","1:35.220",200.491,"1:34.244",12,2,22,40,NA,NA,NA,NA,"23.919","23.293",NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1999,"07 Mar 1999","Toranosuke","Takagi",15,"Arrows","7",17,57,0,"1:36:27.947","86.288","1.97300004959106","1:35.877",199.117,"1:34.182",12,1,32,NA,NA,NA,NA,NA,"27.046",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1999,"07 Mar 1999","Michael","Schumacher",3,"Ferrari","8",3,56,0,"1","1","1","1:32.112",207.256,"1:31.781",11,3,27,37,38,NA,NA,NA,"41.287","11.371","46.248",NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1999,"07 Mar 1999","Ricardo","Zonta",23,"BAR Supertec","NC",19,48,0,NA,NA,NA,"1:34.756",201.473,"1:34.412",11,3,15,31,46,NA,NA,NA,"34.918","29.441","28.728",NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1999,"07 Mar 1999","Luca","Badoer",20,"Minardi Ford","NC",21,42,0,NA,NA,NA,"1:37.073",196.664,"1:35.316",11,2,15,33,NA,NA,NA,NA,"46.637","27.282",NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1999,"07 Mar 1999","Alexander","Wurz",10,"Benetton Playlife","NC",10,28,0,NA,NA,NA,"1:36.068",198.721,"1:32.789",12,1,27,NA,NA,NA,NA,NA,"27.315",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1999,"07 Mar 1999","Pedro","Diniz",12,"Sauber Petronas","NC",14,27,0,NA,NA,NA,"1:34.748",201.49,"1:33.374",9,1,15,NA,NA,NA,NA,NA,"24.711",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1999,"07 Mar 1999","Marc","Gene",21,"Minardi Ford","NC",22,25,0,NA,NA,NA,"1:37.454",195.895,"1:37.013",11,1,23,NA,NA,NA,NA,NA,"27.215",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1999,"07 Mar 1999","Jarno","Trulli",19,"Prost Peugeot","NC",12,25,0,NA,NA,NA,"1:34.980",200.998,"1:32.971",11,2,22,23,NA,NA,NA,NA,"23.752","28.602",NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1999,"07 Mar 1999","Olivier","Panis",18,"Prost Peugeot","NC",20,23,0,NA,NA,NA,"1:35.910",199.049,"1:35.068",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1999,"07 Mar 1999","Mika","Hakkinen",1,"McLaren Mercedes","NC",1,21,0,NA,NA,NA,"1:33.309",204.597,"1:30.462",12,1,18,NA,NA,NA,NA,NA,"47.557",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1999,"07 Mar 1999","Alessandro","Zanardi",5,"Williams Supertec","NC",15,20,0,NA,NA,NA,"1:37.146",196.516,"1:33.549",12,1,13,NA,NA,NA,NA,NA,"23.512",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1999,"07 Mar 1999","David","Coulthard",2,"McLaren Mercedes","NC",2,13,0,NA,NA,NA,"1:33.603",203.955,"1:30.946",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1999,"07 Mar 1999","Jacques","Villeneuve",22,"BAR Supertec","NC",11,13,0,NA,NA,NA,"1:34.771",201.441,"1:32.888",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1999,"07 Mar 1999","Damon","Hill",7,"Jordan Mugen Honda","NC",9,0,0,NA,NA,NA,NA,NA,"1:32.695",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1999,"07 Mar 1999","Jean","Alesi",11,"Sauber Petronas","NC",16,0,0,NA,NA,NA,NA,NA,"1:33.910",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",1999,"11 Apr 1999","Mika","Hakkinen",1,"McLaren Mercedes","1",1,72,10,"1:36:03.785",NA,NA,"1:18.448",196.961,"1:16.568",12,1,42,NA,NA,NA,NA,NA,"30.983",NA,NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",1999,"11 Apr 1999","Michael","Schumacher",3,"Ferrari","2",4,72,6,"1:36:08.710","4.925","4.92499995231628","1:18.616",196.54,"1:17.578",11,1,38,NA,NA,NA,NA,NA,"32.552",NA,NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",1999,"11 Apr 1999","Heinz-Harald","Frentzen",8,"Jordan Mugen Honda","3",8,71,4,NA,NA,NA,"1:19.009",195.562,"1:17.902",11,1,45,NA,NA,NA,NA,NA,"30.78",NA,NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",1999,"11 Apr 1999","Ralf","Schumacher",6,"Williams Supertec","4",11,71,3,"1","1","1","1:19.395",194.611,"1:18.506",12,1,35,NA,NA,NA,NA,NA,"33.386",NA,NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",1999,"11 Apr 1999","Eddie","Irvine",4,"Ferrari","5",6,71,2,"1","1","1","1:18.816",196.041,"1:17.843",11,2,40,55,NA,NA,NA,NA,"33.656","32.791",NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",1999,"11 Apr 1999","Olivier","Panis",18,"Prost Peugeot","6",12,71,1,"1","1","1","1:19.386",194.633,"1:18.636",12,3,12,27,47,NA,NA,NA,"34.096","37.5","31.159",NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",1999,"11 Apr 1999","Alexander","Wurz",10,"Benetton Playlife","7",9,70,0,"2","2","2","1:20.145",192.79,"1:18.334",12,1,41,NA,NA,NA,NA,NA,"32.543",NA,NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",1999,"11 Apr 1999","Toranosuke","Takagi",15,"Arrows","8",19,69,0,"3","3","3","1:21.598",189.357,"1:20.096",12,1,41,NA,NA,NA,NA,NA,"32.359",NA,NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",1999,"11 Apr 1999","Marc","Gene",21,"Minardi Ford","9",20,69,0,"3","3","3","1:21.731",189.049,"1:20.710",11,2,34,50,NA,NA,NA,NA,"35.674","40.903",NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",1999,"11 Apr 1999","Pedro","delaRosa",14,"Arrows","NC",18,52,0,NA,NA,NA,"1:21.698",189.125,"1:20.075",11,1,40,NA,NA,NA,NA,NA,"32.772",NA,NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",1999,"11 Apr 1999","Jacques","Villeneuve",22,"BAR Supertec","NC",21,49,0,NA,NA,NA,"1:20.727",191.4,"",12,1,43,NA,NA,NA,NA,NA,"35.085",NA,NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",1999,"11 Apr 1999","Alessandro","Zanardi",5,"Williams Supertec","NC",16,43,0,NA,NA,NA,"1:21.473",189.648,"1:19.452",10,2,11,42,NA,NA,NA,NA,"34.893","42.514",NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",1999,"11 Apr 1999","Rubens","Barrichello",16,"Stewart Ford","NC",3,42,0,NA,NA,NA,"1:19.477",194.41,"1:17.305",11,1,27,NA,NA,NA,NA,NA,"31.245",NA,NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",1999,"11 Apr 1999","Pedro","Diniz",12,"Sauber Petronas","NC",15,42,0,NA,NA,NA,"1:20.833",191.149,"1:19.194",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
