"race","circuit","season","date","driver_name","driver","number","car","position","starting_grid","laps","points","time_total","time_from_leader","time_from_previous","fastest_lap","average_speed","qualify_time","qualify_lap","stop_total","stop_lap_1","stop_lap_2","stop_lap_3","stop_lap_4","stop_lap_5","stop_lap_6","stop_time_1","stop_time_2","stop_time_3","stop_time_4","stop_time_5","stop_time_6"
"Australia","Melbourne Grand Prix Circuit, Australia",1997,"09 Mar 1997","David","Coulthard",10,"McLaren Mercedes","1",4,58,10,"1:30:28.718",NA,NA,"1:31.412",NA,"1:31.531",12,1,33,NA,NA,NA,NA,NA,"24.178",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1997,"09 Mar 1997","Michael","Schumacher",5,"Ferrari","2",3,58,6,"1:30:48.763","20.046","20.0450000762939","1:31.067",NA,"1:31.472",10,2,31,51,NA,NA,NA,NA,"25.591","20.498",NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1997,"09 Mar 1997","Mika","Hakkinen",9,"McLaren Mercedes","3",6,58,4,"1:30:50.894","22.177","2.13100004196167","1:31.509",NA,"1:31.971",12,1,34,NA,NA,NA,NA,NA,"24.246",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1997,"09 Mar 1997","Gerhard","Berger",8,"Benetton Renault","4",10,58,3,"1:30:51.559","22.841","0.664999961853027","1:31.624",NA,"1:32.870",8,1,30,NA,NA,NA,NA,NA,"27.867",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1997,"09 Mar 1997","Olivier","Panis",14,"Prost Mugen Honda","5",9,58,2,"1:31:29.026","60.308","37.4670000076294","1:31.762",NA,"1:32.842",11,2,18,38,NA,NA,NA,NA,"22.439","24.494",NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1997,"09 Mar 1997","Nicola","Larini",17,"Sauber Petronas","6",13,58,1,"1:32:04.757","96.040","35.7309999465942","1:32.784",NA,"1:33.327",11,1,28,NA,NA,NA,NA,NA,"28.896",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1997,"09 Mar 1997","Shinji","Nakano",15,"Prost Mugen Honda","7",16,56,0,"2","2","2","1:34.171",NA,"1:33.989",11,1,28,NA,NA,NA,NA,NA,"28.294",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1997,"09 Mar 1997","Heinz-Harald","Frentzen",4,"Williams Renault","8",2,55,0,NA,NA,NA,"1:30.585",NA,"1:31.123",12,2,18,40,NA,NA,NA,NA,"24.528","30.845",NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1997,"09 Mar 1997","Jarno","Trulli",21,"Minardi Hart","9",17,55,0,"3","3","3","1:35.959",NA,"1:34.120",12,2,19,40,NA,NA,NA,NA,"26.469","28.456",NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1997,"09 Mar 1997","Pedro","Diniz",2,"Arrows Yamaha","10",22,54,0,"4","4","4","1:34.465",NA,"1:35.972",8,2,16,29,NA,NA,NA,NA,"3:12.984","31.984",NA,NA,NA,NA
