"race","circuit","season","date","driver_name","driver","number","car","position","starting_grid","laps","points","time_total","time_from_leader","time_from_previous","fastest_lap","average_speed","qualify_time","qualify_lap","stop_total","stop_lap_1","stop_lap_2","stop_lap_3","stop_lap_4","stop_lap_5","stop_lap_6","stop_time_1","stop_time_2","stop_time_3","stop_time_4","stop_time_5","stop_time_6"
"Australia","Melbourne Grand Prix Circuit, Australia",2000,"12 Mar 2000","Michael","Schumacher",3,"Ferrari","1",3,58,10,"1:34:01.987",NA,NA,"1:31.752",208.069,"1:31.075",9,1,30,NA,NA,NA,NA,NA,"30.393",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2000,"12 Mar 2000","Rubens","Barrichello",4,"Ferrari","2",4,58,6,"1:34:13.401","11.415","11.4140000343323","1:31.481",208.685,"1:31.102",8,2,33,46,NA,NA,NA,NA,"28.502","25.978",NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2000,"12 Mar 2000","Ralf","Schumacher",9,"Williams BMW","3",11,58,4,"1:34:21.996","20.009","8.59500002861023","1:32.525",206.331,"1:32.220",9,1,38,NA,NA,NA,NA,NA,"32.038",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2000,"12 Mar 2000","Jacques","Villeneuve",22,"BAR Honda","4",8,58,3,"1:34:46.434","44.447","24.4379999637604","1:33.185",204.869,"1:31.968",11,1,37,NA,NA,NA,NA,NA,"29.553",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2000,"12 Mar 2000","Giancarlo","Fisichella",11,"Benetton Playlife","5",9,58,2,"1:34:47.151","45.165","0.717000007629395","1:33.449",204.291,"1:31.992",10,1,36,NA,NA,NA,NA,NA,"28.405",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2000,"12 Mar 2000","Ricardo","Zonta",23,"BAR Honda","6",16,58,1,"1:34:48.454","46.468","1.30299997329712","1:33.435",204.321,"1:33.117",10,1,35,NA,NA,NA,NA,NA,"28.245",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2000,"12 Mar 2000","Alexander","Wurz",12,"Benetton Playlife","7",14,58,0,"1:34:48.901","46.915","0.447000026702881","1:33.459",204.269,"1:32.775",11,1,35,NA,NA,NA,NA,NA,"30.088",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2000,"12 Mar 2000","Marc","Gene",20,"Minardi Fondmetal","8",18,57,0,"1","1","1","1:33.231",204.768,"1:33.261",11,2,1,30,NA,NA,NA,NA,"2:35.225","30.279",NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2000,"12 Mar 2000","Nick","Heidfeld",15,"Prost Peugeot","9",15,56,0,"2","2","2","1:34.111",202.854,"1:33.024",11,1,23,NA,NA,NA,NA,NA,"1:51.730",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2000,"12 Mar 2000","Jenson","Button",10,"Williams BMW","NC",21,46,0,NA,NA,NA,"1:33.351",204.505,"1:33.828",11,1,37,NA,NA,NA,NA,NA,"29.251",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2000,"12 Mar 2000","Pedro","Diniz",16,"Sauber Petronas","NC",19,41,0,NA,NA,NA,"1:32.977",205.328,"1:33.378",8,3,19,40,41,NA,NA,NA,"30.227","35.742","27.511",NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2000,"12 Mar 2000","Gaston","Mazzacane",21,"Minardi Fondmetal","NC",22,40,0,NA,NA,NA,"1:35.241",200.447,"1:34.705",12,3,9,36,40,NA,NA,NA,"30.398","32.785","36.050",NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2000,"12 Mar 2000","Heinz-Harald","Frentzen",5,"Jordan Mugen Honda","NC",5,39,0,NA,NA,NA,"1:32.110",207.26,"1:31.359",12,1,36,NA,NA,NA,NA,NA,"41.474",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2000,"12 Mar 2000","Jarno","Trulli",6,"Jordan Mugen Honda","NC",6,35,0,NA,NA,NA,"1:33.223",204.786,"1:31.504",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2000,"12 Mar 2000","Jean","Alesi",14,"Prost Peugeot","NC",17,27,0,NA,NA,NA,"1:35.088",200.769,"1:33.197",11,1,21,NA,NA,NA,NA,NA,"28.574",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2000,"12 Mar 2000","Mika","Hakkinen",1,"McLaren Mercedes","NC",1,18,0,NA,NA,NA,"1:32.433",206.536,"1:30.556",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2000,"12 Mar 2000","Jos","Verstappen",19,"Arrows Supertec","NC",13,16,0,NA,NA,NA,"1:34.834",201.307,"1:32.477",11,1,7,NA,NA,NA,NA,NA,"4:23.694",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2000,"12 Mar 2000","David","Coulthard",2,"McLaren Mercedes","NC",2,11,0,NA,NA,NA,"1:33.653",203.846,"1:30.910",11,1,11,NA,NA,NA,NA,NA,"1:06.330",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2000,"12 Mar 2000","Pedro","delaRosa",18,"Arrows Supertec","NC",12,6,0,NA,NA,NA,"1:35.663",199.563,"1:32.323",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2000,"12 Mar 2000","Eddie","Irvine",7,"Jaguar Cosworth","NC",7,6,0,NA,NA,NA,"1:35.789",199.3,"1:31.514",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2000,"12 Mar 2000","Johnny","Herbert",8,"Jaguar Cosworth","NC",20,1,0,NA,NA,NA,NA,NA,"1:33.638",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",2000,"26 Mar 2000","Michael","Schumacher",3,"Ferrari","1",3,71,10,"1:31:35.271",NA,NA,"1:14.755",207.509,"1:14.508",12,2,20,51,NA,NA,NA,NA,"36.602","34.6",NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",2000,"26 Mar 2000","Giancarlo","Fisichella",11,"Benetton Playlife","2",5,71,6,"1:32:15.168","39.898","39.8970000743866","1:16.002",204.105,"1:15.375",12,1,51,NA,NA,NA,NA,NA,"34.14",NA,NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",2000,"26 Mar 2000","Heinz-Harald","Frentzen",5,"Jordan Mugen Honda","3",7,71,4,"1:32:17.538","42.268","2.37000012397766","1:15.192",206.303,"1:15.455",9,1,41,NA,NA,NA,NA,NA,"35.695",NA,NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",2000,"26 Mar 2000","Jarno","Trulli",6,"Jordan Mugen Honda","4",12,71,3,"1:32:48.050","72.780","30.5119998455048","1:16.375",203.108,"1:15.627",10,2,28,56,NA,NA,NA,NA,"36.434","33.392",NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",2000,"26 Mar 2000","Ralf","Schumacher",9,"Williams BMW","5",11,70,2,"1","1","1","1:16.398",203.047,"1:15.561",10,1,45,NA,NA,NA,NA,NA,"37.118",NA,NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",2000,"26 Mar 2000","Jenson","Button",10,"Williams BMW","6",9,70,1,"1","1","1","1:16.379",203.097,"1:15.490",11,1,44,NA,NA,NA,NA,NA,"36.55",NA,NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",2000,"26 Mar 2000","Jos","Verstappen",19,"Arrows Supertec","7",14,70,0,"1","1","1","1:16.975",201.525,"1:15.704",12,1,35,NA,NA,NA,NA,NA,"38.998",NA,NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",2000,"26 Mar 2000","Pedro","delaRosa",18,"Arrows Supertec","8",16,70,0,"1","1","1","1:16.967",201.546,"1:16.002",12,1,37,NA,NA,NA,NA,NA,"41.23",NA,NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",2000,"26 Mar 2000","Ricardo","Zonta",23,"BAR Honda","9",8,69,0,"2","2","2","1:16.658",202.358,"1:15.484",10,1,27,NA,NA,NA,NA,NA,"58.043",NA,NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",2000,"26 Mar 2000","Gaston","Mazzacane",21,"Minardi Fondmetal","10",20,69,0,"2","2","2","1:17.380",200.47,"1:17.512",12,1,38,NA,NA,NA,NA,NA,"40.478",NA,NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",2000,"26 Mar 2000","Johnny","Herbert",8,"Jaguar Cosworth","NC",17,51,0,NA,NA,NA,"1:17.696",199.655,"1:16.250",11,1,44,NA,NA,NA,NA,NA,"38.246",NA,NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",2000,"26 Mar 2000","Marc","Gene",20,"Minardi Fondmetal","NC",18,31,0,NA,NA,NA,"1:17.174",201.005,"1:16.380",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",2000,"26 Mar 2000","Mika","Hakkinen",1,"McLaren Mercedes","NC",1,30,0,NA,NA,NA,"1:15.456",205.582,"1:14.111",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",2000,"26 Mar 2000","Rubens","Barrichello",4,"Ferrari","NC",4,27,0,NA,NA,NA,"1:15.632",205.103,"1:14.636",12,1,22,NA,NA,NA,NA,NA,"37.194",NA,NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",2000,"26 Mar 2000","Eddie","Irvine",7,"Jaguar Cosworth","NC",6,20,0,NA,NA,NA,"1:17.792",199.408,"1:15.425",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",2000,"26 Mar 2000","Jacques","Villeneuve",22,"BAR Honda","NC",10,16,0,NA,NA,NA,"1:18.379",197.915,"1:15.515",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",2000,"26 Mar 2000","Jean","Alesi",14,"Prost Peugeot","NC",15,11,0,NA,NA,NA,"1:18.381",197.91,"1:15.715",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",2000,"26 Mar 2000","Nick","Heidfeld",15,"Prost Peugeot","NC",19,9,0,NA,NA,NA,"1:19.765",194.476,"1:17.112",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",2000,"26 Mar 2000","Alexander","Wurz",12,"Benetton Playlife","NC",13,6,0,NA,NA,NA,"1:21.821",189.589,"1:15.664",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"San Marino","Autodromo Enzo e Dino Ferrari, San Marino",2000,"09 Apr 2000","Michael","Schumacher",3,"Ferrari","1",2,62,10,"1:31:39.776",NA,NA,"1:26.774",204.655,"1:24.805",11,2,27,48,NA,NA,NA,NA,"26.716","22.889",NA,NA,NA,NA
"San Marino","Autodromo Enzo e Dino Ferrari, San Marino",2000,"09 Apr 2000","Mika","Hakkinen",1,"McLaren Mercedes","2",1,62,6,"1:31:40.944","1.168","1.16799998283386","1:26.523",205.249,"1:24.714",12,2,27,44,NA,NA,NA,NA,"25.270","25.748",NA,NA,NA,NA
"San Marino","Autodromo Enzo e Dino Ferrari, San Marino",2000,"09 Apr 2000","David","Coulthard",2,"McLaren Mercedes","3",3,62,4,"1:32:30.783","51.008","49.8389999866486","1:27.014",204.091,"1:25.014",12,2,25,46,NA,NA,NA,NA,"26.663","24.857",NA,NA,NA,NA
"San Marino","Autodromo Enzo e Dino Ferrari, San Marino",2000,"09 Apr 2000","Rubens","Barrichello",4,"Ferrari","4",4,62,3,"1:33:09.052","89.276","38.2690000534058","1:27.899",202.036,"1:25.242",12,2,28,46,NA,NA,NA,NA,"24.730","26.284",NA,NA,NA,NA
"San Marino","Autodromo Enzo e Dino Ferrari, San Marino",2000,"09 Apr 2000","Jacques","Villeneuve",22,"BAR Honda","5",9,61,2,"1","1","1","1:28.816",199.95,"1:26.124",12,2,28,43,NA,NA,NA,NA,"24.192","25.157",NA,NA,NA,NA
"San Marino","Autodromo Enzo e Dino Ferrari, San Marino",2000,"09 Apr 2000","Mika","Salo",17,"Sauber Petronas","6",12,61,1,"1","1","1","1:28.336",201.036,"1:26.336",12,2,26,42,NA,NA,NA,NA,"24.947","25.006",NA,NA,NA,NA
"San Marino","Autodromo Enzo e Dino Ferrari, San Marino",2000,"09 Apr 2000","Eddie","Irvine",7,"Jaguar Cosworth","7",7,61,0,"1","1","1","1:28.387",200.92,"1:25.929",12,2,23,44,NA,NA,NA,NA,"26.734","25.955",NA,NA,NA,NA
"San Marino","Autodromo Enzo e Dino Ferrari, San Marino",2000,"09 Apr 2000","Pedro","Diniz",16,"Sauber Petronas","8",10,61,0,"1","1","1","1:27.814",202.231,"1:26.238",12,2,25,44,NA,NA,NA,NA,"25.117","26.005",NA,NA,NA,NA
"San Marino","Autodromo Enzo e Dino Ferrari, San Marino",2000,"09 Apr 2000","Alexander","Wurz",12,"Benetton Playlife","9",11,61,0,"1","1","1","1:29.180",199.134,"1:26.281",12,1,38,NA,NA,NA,NA,NA,"26.689",NA,NA,NA,NA,NA
"San Marino","Autodromo Enzo e Dino Ferrari, San Marino",2000,"09 Apr 2000","Johnny","Herbert",8,"Jaguar Cosworth","10",17,61,0,"1","1","1","1:29.049",199.427,"1:27.051",11,1,32,NA,NA,NA,NA,NA,"29.041",NA,NA,NA,NA,NA
