"race","circuit","season","date","driver_name","driver","number","car","position","starting_grid","laps","points","time_total","time_from_leader","time_from_previous","fastest_lap","average_speed","qualify_time","qualify_lap","stop_total","stop_lap_1","stop_lap_2","stop_lap_3","stop_lap_4","stop_lap_5","stop_lap_6","stop_time_1","stop_time_2","stop_time_3","stop_time_4","stop_time_5","stop_time_6"
"South Africa","Kyalami Grand Prix Circuit, South Africa",1970,"07 Mar 1970","Jack","Brabham",12,"Brabham Ford","1",3,80,9,"1:49:34.600",NA,NA,"1:20.800",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Kyalami Grand Prix Circuit, South Africa",1970,"07 Mar 1970","Denny","Hulme",6,"McLaren Ford","2",6,80,6,"1:49:42.699","8.100","8.09899997711182",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Kyalami Grand Prix Circuit, South Africa",1970,"07 Mar 1970","Jackie","Stewart",1,"March Ford","3",1,80,4,"1:49:51.699","17.100","9",NA,NA,"1:19.300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Kyalami Grand Prix Circuit, South Africa",1970,"07 Mar 1970","Jean-Pierre","Beltoise",3,"Matra","4",8,80,3,"1:50:47.699","73.100","56",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Kyalami Grand Prix Circuit, South Africa",1970,"07 Mar 1970","John","Miles",10,"Lotus Ford","5",14,79,2,"1","1","1",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Kyalami Grand Prix Circuit, South Africa",1970,"07 Mar 1970","Graham","Hill",11,"Lotus Ford","6",19,79,1,"1","1","1",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Kyalami Grand Prix Circuit, South Africa",1970,"07 Mar 1970","Henri","Pescarolo",4,"Matra","7",18,78,0,"2","2","2",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Kyalami Grand Prix Circuit, South Africa",1970,"07 Mar 1970","John","Love",23,"Lotus Ford","8",22,78,0,"2","2","2",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Kyalami Grand Prix Circuit, South Africa",1970,"07 Mar 1970","Pedro","Rodriguez",20,"BRM","9",16,76,0,"4","4","4",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Kyalami Grand Prix Circuit, South Africa",1970,"07 Mar 1970","Jo","Siffert",16,"March Ford","10",9,75,0,"5","5","5",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Kyalami Grand Prix Circuit, South Africa",1970,"07 Mar 1970","Peter","deKlerk",24,"Brabham Ford","11",21,75,0,"5","5","5",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Kyalami Grand Prix Circuit, South Africa",1970,"07 Mar 1970","Dave","Charlton",25,"Lotus Ford","12",13,73,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Kyalami Grand Prix Circuit, South Africa",1970,"07 Mar 1970","Jochen","Rindt",9,"Lotus Ford","13",4,72,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Kyalami Grand Prix Circuit, South Africa",1970,"07 Mar 1970","John","Surtees",7,"McLaren Ford","NC",7,60,0,NA,NA,NA,"1:20.800",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Kyalami Grand Prix Circuit, South Africa",1970,"07 Mar 1970","Jacky","Ickx",17,"Ferrari","NC",5,60,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Kyalami Grand Prix Circuit, South Africa",1970,"07 Mar 1970","George","Eaton",21,"BRM","NC",23,58,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Kyalami Grand Prix Circuit, South Africa",1970,"07 Mar 1970","Johnny","Servoz-Gavin",2,"March Ford","NC",17,57,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Kyalami Grand Prix Circuit, South Africa",1970,"07 Mar 1970","Piers","Courage",22,"De Tomaso Ford","NC",20,39,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Kyalami Grand Prix Circuit, South Africa",1970,"07 Mar 1970","Bruce","McLaren",5,"McLaren Ford","NC",10,39,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Kyalami Grand Prix Circuit, South Africa",1970,"07 Mar 1970","Mario","Andretti",8,"March Ford","NC",11,26,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Kyalami Grand Prix Circuit, South Africa",1970,"07 Mar 1970","Rolf","Stommelen",14,"Brabham Ford","NC",15,23,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Kyalami Grand Prix Circuit, South Africa",1970,"07 Mar 1970","Jackie","Oliver",19,"BRM","NC",12,22,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Kyalami Grand Prix Circuit, South Africa",1970,"07 Mar 1970","Chris","Amon",15,"March Ford","NC",2,14,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spain","Circuito Permanente del Jarama, Spain",1970,"19 Apr 1970","Jackie","Stewart",1,"March Ford","1",3,90,9,"2:10:58.200",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spain","Circuito Permanente del Jarama, Spain",1970,"19 Apr 1970","Bruce","McLaren",11,"McLaren Ford","2",11,89,6,"1","1","1",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spain","Circuito Permanente del Jarama, Spain",1970,"19 Apr 1970","Mario","Andretti",18,"March Ford","3",16,89,4,"1","1","1",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spain","Circuito Permanente del Jarama, Spain",1970,"19 Apr 1970","Graham","Hill",6,"Lotus Ford","4",15,89,3,"1","1","1",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spain","Circuito Permanente del Jarama, Spain",1970,"19 Apr 1970","Johnny","Servoz-Gavin",16,"March Ford","5",14,88,2,"2","2","2",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spain","Circuito Permanente del Jarama, Spain",1970,"19 Apr 1970","John","Surtees",8,"null","NC",12,76,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spain","Circuito Permanente del Jarama, Spain",1970,"19 Apr 1970","Jack","Brabham",7,"Brabham Ford","NC",1,61,0,NA,NA,NA,"1:24.300",NA,"1:23.900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spain","Circuito Permanente del Jarama, Spain",1970,"19 Apr 1970","Rolf","Stommelen",24,"Brabham Ford","NC",17,43,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spain","Circuito Permanente del Jarama, Spain",1970,"19 Apr 1970","Henri","Pescarolo",22,"Matra","NC",9,33,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spain","Circuito Permanente del Jarama, Spain",1970,"19 Apr 1970","Jean-Pierre","Beltoise",4,"Matra","NC",4,31,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spain","Circuito Permanente del Jarama, Spain",1970,"19 Apr 1970","Chris","Amon",9,"March Ford","NC",6,10,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spain","Circuito Permanente del Jarama, Spain",1970,"19 Apr 1970","Denny","Hulme",5,"McLaren Ford","NC",2,10,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spain","Circuito Permanente del Jarama, Spain",1970,"19 Apr 1970","Jochen","Rindt",3,"Lotus Ford","NC",8,9,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spain","Circuito Permanente del Jarama, Spain",1970,"19 Apr 1970","Pedro","Rodriguez",10,"BRM","NC",5,4,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spain","Circuito Permanente del Jarama, Spain",1970,"19 Apr 1970","Jacky","Ickx",2,"Ferrari","NC",7,0,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spain","Circuito Permanente del Jarama, Spain",1970,"19 Apr 1970","Jackie","Oliver",15,"BRM","NC",10,0,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monaco","Circuit de Monaco, Monaco",1970,"10 May 1970","Jochen","Rindt",3,"Lotus Ford","1",8,80,9,"1:54:36.600",NA,NA,"1:23.200",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monaco","Circuit de Monaco, Monaco",1970,"10 May 1970","Jack","Brabham",5,"Brabham Ford","2",4,80,6,"1:54:59.699","23.100","23.0989999771118",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monaco","Circuit de Monaco, Monaco",1970,"10 May 1970","Henri","Pescarolo",9,"Matra","3",7,80,4,"1:55:28.000","51.400","28.3010001182556",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monaco","Circuit de Monaco, Monaco",1970,"10 May 1970","Denny","Hulme",11,"McLaren Ford","4",3,80,3,"1:56:04.899","88.300","36.8989999294281",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monaco","Circuit de Monaco, Monaco",1970,"10 May 1970","Graham","Hill",1,"Lotus Ford","5",16,79,2,"1","1","1",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monaco","Circuit de Monaco, Monaco",1970,"10 May 1970","Pedro","Rodriguez",17,"BRM","6",15,78,1,"2","2","2",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monaco","Circuit de Monaco, Monaco",1970,"10 May 1970","Ronnie","Peterson",23,"March Ford","7",12,78,0,"2","2","2",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monaco","Circuit de Monaco, Monaco",1970,"10 May 1970","Jo","Siffert",19,"March Ford","8",11,76,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monaco","Circuit de Monaco, Monaco",1970,"10 May 1970","Chris","Amon",28,"March Ford","NC",2,60,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monaco","Circuit de Monaco, Monaco",1970,"10 May 1970","Piers","Courage",24,"De Tomaso Ford","NC",9,58,0,"2","2","2",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monaco","Circuit de Monaco, Monaco",1970,"10 May 1970","Jackie","Stewart",21,"March Ford","NC",1,57,0,NA,NA,NA,NA,NA,"1:24.000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monaco","Circuit de Monaco, Monaco",1970,"10 May 1970","Jackie","Oliver",16,"BRM","NC",14,42,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monaco","Circuit de Monaco, Monaco",1970,"10 May 1970","Jean-Pierre","Beltoise",8,"Matra","NC",6,21,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monaco","Circuit de Monaco, Monaco",1970,"10 May 1970","Bruce","McLaren",12,"McLaren Ford","NC",10,19,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monaco","Circuit de Monaco, Monaco",1970,"10 May 1970","John","Surtees",14,"McLaren Ford","NC",13,14,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monaco","Circuit de Monaco, Monaco",1970,"10 May 1970","Jacky","Ickx",26,"Ferrari","NC",5,11,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium","Circuit de Spa-Francorchamps, Belgium",1970,"07 Jun 1970","Pedro","Rodriguez",1,"BRM","1",6,28,9,"1:38:09.900",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium","Circuit de Spa-Francorchamps, Belgium",1970,"07 Jun 1970","Chris","Amon",10,"March Ford","2",3,28,6,"1:38:11.000","1.100","1.09999990463257","3:27.400",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium","Circuit de Spa-Francorchamps, Belgium",1970,"07 Jun 1970","Jean-Pierre","Beltoise",25,"Matra","3",11,28,4,"1:39:53.600","103.700","1.70999999841054",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium","Circuit de Spa-Francorchamps, Belgium",1970,"07 Jun 1970","Ignazio","Giunti",28,"Ferrari","4",8,28,3,"1:40:48.400","158.500","54.8000001907349",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium","Circuit de Spa-Francorchamps, Belgium",1970,"07 Jun 1970","Rolf","Stommelen",19,"Brabham Ford","5",7,28,2,"1:41:31.700","201.800","43.2999999523163",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
