"race","circuit","season","date","driver_name","driver","number","car","position","starting_grid","laps","points","time_total","time_from_leader","time_from_previous","fastest_lap","average_speed","qualify_time","qualify_lap","stop_total","stop_lap_1","stop_lap_2","stop_lap_3","stop_lap_4","stop_lap_5","stop_lap_6","stop_time_1","stop_time_2","stop_time_3","stop_time_4","stop_time_5","stop_time_6"
"Argentina","Autódromo Juan y Oscar Gálvez, Argentina",1972,"23 Jan 1972","Jackie","Stewart",21,"Tyrrell Ford","1",2,95,9,"1:57:58.820",NA,NA,"1:13.660",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Autódromo Juan y Oscar Gálvez, Argentina",1972,"23 Jan 1972","Denny","Hulme",17,"McLaren Ford","2",4,95,6,"1:58:24.779","25.960","25.9590001106262",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Autódromo Juan y Oscar Gálvez, Argentina",1972,"23 Jan 1972","Jacky","Ickx",8,"Ferrari","3",8,95,4,"1:58:58.210","59.390","33.430999994278",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Autódromo Juan y Oscar Gálvez, Argentina",1972,"23 Jan 1972","Clay","Regazzoni",9,"Ferrari","4",6,95,3,"1:59:05.539","66.720","7.3289999961853",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Autódromo Juan y Oscar Gálvez, Argentina",1972,"23 Jan 1972","Tim","Schenken",19,"Surtees Ford","5",11,95,2,"1:59:07.929","69.110","2.3899998664856",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Autódromo Juan y Oscar Gálvez, Argentina",1972,"23 Jan 1972","Ronnie","Peterson",14,"March Ford","6",10,94,1,"1","1","1",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Autódromo Juan y Oscar Gálvez, Argentina",1972,"23 Jan 1972","Carlos","Reutemann",2,"Brabham Ford","7",1,93,0,"2","2","2",NA,NA,"1:12.460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Autódromo Juan y Oscar Gálvez, Argentina",1972,"23 Jan 1972","Henri","Pescarolo",23,"March Ford","8",15,93,0,"2","2","2",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Autódromo Juan y Oscar Gálvez, Argentina",1972,"23 Jan 1972","Howden","Ganley",3,"BRM","9",13,93,0,"2","2","2",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Autódromo Juan y Oscar Gálvez, Argentina",1972,"23 Jan 1972","Helmut","Marko",7,"BRM","10",19,93,0,"2","2","2",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Autódromo Juan y Oscar Gálvez, Argentina",1972,"23 Jan 1972","Niki","Lauda",15,"March Ford","11",22,93,0,"2","2","2",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Autódromo Juan y Oscar Gálvez, Argentina",1972,"23 Jan 1972","Emerson","Fittipaldi",11,"Lotus Ford","NC",5,61,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
