"race","circuit","season","date","driver_name","driver","number","car","position","starting_grid","laps","points","time_total","time_from_leader","time_from_previous","fastest_lap","average_speed","qualify_time","qualify_lap","stop_total","stop_lap_1","stop_lap_2","stop_lap_3","stop_lap_4","stop_lap_5","stop_lap_6","stop_time_1","stop_time_2","stop_time_3","stop_time_4","stop_time_5","stop_time_6"
"Australia","Melbourne Grand Prix Circuit, Melbourne",2018,"25 Mar 2018","Sebastian","Vettel",5,"Ferrari","1",3,58,25,"1:29:33.283",NA,NA,"1:26.469",220.782,"1:21.838",20,1,26,NA,NA,NA,NA,NA,"21.787",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Melbourne",2018,"25 Mar 2018","Lewis","Hamilton",44,"Mercedes","2",1,58,18,"1:29:38.319","5.036","5.03600001335144","1:26.444",220.845,"1:21.164",20,1,19,NA,NA,NA,NA,NA,"21.821",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Melbourne",2018,"25 Mar 2018","Kimi","Räikkönen",7,"Ferrari","3",2,58,15,"1:29:39.592","6.309","1.27300000190735","1:26.373",221.027,"1:21.828",17,1,18,NA,NA,NA,NA,NA,"21.421",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Melbourne",2018,"25 Mar 2018","Daniel","Ricciardo",3,"Red Bull Racing TAG Heuer","4",8,58,12,"1:29:40.351","7.069","0.759000062942505","1:25.945",222.128,"1:22.152",17,1,26,NA,NA,NA,NA,NA,"21.44",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Melbourne",2018,"25 Mar 2018","Fernando","Alonso",14,"McLaren Renault","5",10,58,10,"1:30:01.168","27.886","20.816999912262","1:26.978",219.489,"1:23.692",14,1,26,NA,NA,NA,NA,NA,"22.573",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Melbourne",2018,"25 Mar 2018","Max","Verstappen",33,"Red Bull Racing TAG Heuer","6",4,58,8,"1:30:02.227","28.945","1.05900001525879","1:26.880",219.737,"1:21.879",18,1,21,NA,NA,NA,NA,NA,"20.953",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Melbourne",2018,"25 Mar 2018","Nico","Hulkenberg",27,"Renault","7",7,58,6,"1:30:05.953","32.671","3.7260000705719","1:27.081",219.23,"1:23.532",16,1,24,NA,NA,NA,NA,NA,"22.628",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Melbourne",2018,"25 Mar 2018","Valtteri","Bottas",77,"Mercedes","8",15,58,4,"1:30:07.621","34.339","1.66799998283386","1:27.019",219.386,"",16,1,25,NA,NA,NA,NA,NA,"21.664",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Melbourne",2018,"25 Mar 2018","Stoffel","Vandoorne",2,"McLaren Renault","9",11,58,2,"1:30:08.203","34.921","0.582000017166138","1:26.958",219.54,"1:23.853",14,1,25,NA,NA,NA,NA,NA,"22.474",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Melbourne",2018,"25 Mar 2018","Carlos","Sainz",55,"Renault","10",9,58,1,"1:30:19.004","45.722","10.800999879837","1:27.944",217.079,"1:23.577",17,1,22,NA,NA,NA,NA,NA,"23.868",NA,NA,NA,NA,NA
