"race","circuit","season","date","driver_name","driver","number","car","position","starting_grid","laps","points","time_total","time_from_leader","time_from_previous","fastest_lap","average_speed","qualify_time","qualify_lap","stop_total","stop_lap_1","stop_lap_2","stop_lap_3","stop_lap_4","stop_lap_5","stop_lap_6","stop_time_1","stop_time_2","stop_time_3","stop_time_4","stop_time_5","stop_time_6"
"Bahrain","Bahrain International Circuit, Bahrain",2006,"12 Mar 2006","Fernando","Alonso",1,"Renault","1",4,57,10,"1:29:46.205",NA,NA,"1:32.534",210.551,"1:31.702",20,2,19,39,NA,NA,NA,NA,"26.602","26.220",NA,NA,NA,NA
"Bahrain","Bahrain International Circuit, Bahrain",2006,"12 Mar 2006","Michael","Schumacher",5,"Ferrari","2",1,57,8,"1:29:47.450","1.246","1.24500012397766","1:32.523",210.576,"1:31.431",20,2,15,36,NA,NA,NA,NA,"27.009","27.374",NA,NA,NA,NA
"Bahrain","Bahrain International Circuit, Bahrain",2006,"12 Mar 2006","Kimi","Räikkönen",3,"McLaren Mercedes","3",22,57,6,"1:30:05.564","19.360","18.1139998435974","1:32.864",209.803,"",2,1,30,NA,NA,NA,NA,NA,"29.638",NA,NA,NA,NA,NA
"Bahrain","Bahrain International Circuit, Bahrain",2006,"12 Mar 2006","Jenson","Button",12,"Honda","4",3,57,5,"1:30:06.197","19.992","0.633000135421753","1:32.729",210.109,"1:31.549",23,2,18,40,NA,NA,NA,NA,"27.658","25.424",NA,NA,NA,NA
"Bahrain","Bahrain International Circuit, Bahrain",2006,"12 Mar 2006","JuanPablo","Montoya",4,"McLaren Mercedes","5",5,57,4,"1:30:23.253","37.048","17.055999994278","1:32.771",210.013,"1:32.164",20,2,23,44,NA,NA,NA,NA,"27.492","25.369",NA,NA,NA,NA
"Bahrain","Bahrain International Circuit, Bahrain",2006,"12 Mar 2006","Mark","Webber",9,"Williams Cosworth","6",7,57,3,"1:30:28.136","41.932","4.88299989700317","1:32.660",210.265,"1:33.006",20,2,23,39,NA,NA,NA,NA,"26.208","26.605",NA,NA,NA,NA
"Bahrain","Bahrain International Circuit, Bahrain",2006,"12 Mar 2006","Nico","Rosberg",10,"Williams Cosworth","7",12,57,2,"1:30:49.247","63.043","21.1110000610352","1:32.408",210.838,"1:32.620",10,3,1,27,43,NA,NA,NA,"38.477","25.849","26.178",NA,NA,NA
"Bahrain","Bahrain International Circuit, Bahrain",2006,"12 Mar 2006","Christian","Klien",15,"RBR Ferrari","8",8,57,1,"1:30:52.975","66.771","3.7279999256134","1:33.212",209.02,"1:33.112",25,2,22,41,NA,NA,NA,NA,"27.937","26.075",NA,NA,NA,NA
"Bahrain","Bahrain International Circuit, Bahrain",2006,"12 Mar 2006","Felipe","Massa",6,"Ferrari","9",2,57,0,"1:30:56.111","69.907","3.13600015640259","1:32.739",210.086,"1:31.478",20,2,8,32,NA,NA,NA,NA,"1:05.526","28.245",NA,NA,NA,NA
"Bahrain","Bahrain International Circuit, Bahrain",2006,"12 Mar 2006","David","Coulthard",14,"RBR Ferrari","10",13,57,0,"1:31:01.745","75.541","5.63399982452393","1:33.376",208.653,"1:32.850",12,1,30,NA,NA,NA,NA,NA,"29.271",NA,NA,NA,NA,NA
"Bahrain","Bahrain International Circuit, Bahrain",2006,"12 Mar 2006","Vitantonio","Liuzzi",20,"STR Cosworth","11",15,57,0,"1:31:12.201","85.997","10.4560000896454","1:33.480",208.421,"1:33.416",13,2,22,39,NA,NA,NA,NA,"27.441","28.244",NA,NA,NA,NA
"Bahrain","Bahrain International Circuit, Bahrain",2006,"12 Mar 2006","Nick","Heidfeld",16,"Sauber BMW","12",10,56,0,"1","1","1","1:33.772",207.772,"1:33.926",24,2,17,35,NA,NA,NA,NA,"27.416","26.846",NA,NA,NA,NA
"Bahrain","Bahrain International Circuit, Bahrain",2006,"12 Mar 2006","Scott","Speed",21,"STR Cosworth","13",16,56,0,"1","1","1","1:33.108",209.253,"1:34.606",10,2,25,43,NA,NA,NA,NA,"27.579","27.118",NA,NA,NA,NA
"Bahrain","Bahrain International Circuit, Bahrain",2006,"12 Mar 2006","Ralf","Schumacher",7,"Toyota","14",17,56,0,"1","1","1","1:34.112",207.021,"1:34.702",7,3,12,26,41,NA,NA,NA,"25.853","25.781","25.497",NA,NA,NA
"Bahrain","Bahrain International Circuit, Bahrain",2006,"12 Mar 2006","Rubens","Barrichello",11,"Honda","15",6,56,0,"1","1","1","1:33.840",207.621,"1:32.579",26,2,16,38,NA,NA,NA,NA,"27.177","25.935",NA,NA,NA,NA
"Bahrain","Bahrain International Circuit, Bahrain",2006,"12 Mar 2006","Jarno","Trulli",8,"Toyota","16",14,56,0,"1","1","1","1:34.852",205.406,"1:33.066",11,2,22,39,NA,NA,NA,NA,"25.885","25.637",NA,NA,NA,NA
"Bahrain","Bahrain International Circuit, Bahrain",2006,"12 Mar 2006","Tiago","Monteiro",18,"MF1 Toyota","17",19,55,0,"2","2","2","1:35.940",203.076,"1:35.900",4,2,18,37,NA,NA,NA,NA,"27.481","27.136",NA,NA,NA,NA
"Bahrain","Bahrain International Circuit, Bahrain",2006,"12 Mar 2006","Takuma","Sato",22,"Super Aguri Honda","18",20,53,0,"4","4","4","1:37.104",200.642,"1:37.411",6,6,18,19,20,22,25,39,"15.302","1:14.871","40.992","33.459","35.539","30.916"
"Bahrain","Bahrain International Circuit, Bahrain",2006,"12 Mar 2006","Yuji","Ide",23,"Super Aguri Honda","NC",21,35,0,NA,NA,NA,"1:38.302",198.197,"1:40.270",6,3,7,14,17,NA,NA,NA,"15.797","33.196","10:45.296",NA,NA,NA
"Bahrain","Bahrain International Circuit, Bahrain",2006,"12 Mar 2006","Jacques","Villeneuve",17,"Sauber BMW","NC",11,29,0,NA,NA,NA,"1:33.694",207.945,"1:32.456",11,1,23,NA,NA,NA,NA,NA,"27.041",NA,NA,NA,NA,NA
"Bahrain","Bahrain International Circuit, Bahrain",2006,"12 Mar 2006","Giancarlo","Fisichella",2,"Renault","NC",9,21,0,NA,NA,NA,"1:34.320",206.564,"1:33.496",20,1,16,NA,NA,NA,NA,NA,"27.474",NA,NA,NA,NA,NA
"Bahrain","Bahrain International Circuit, Bahrain",2006,"12 Mar 2006","Christijan","Albers",19,"MF1 Toyota","NC",18,0,0,NA,NA,NA,NA,NA,"1:35.724",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malaysia","Sepang International Circuit, Malaysia",2006,"19 Mar 2006","Giancarlo","Fisichella",2,"Renault","1",1,56,10,"1:30:40.529",NA,NA,"1:35.294",209.402,"1:33.840",22,2,17,38,NA,NA,NA,NA,"29.126","25.473",NA,NA,NA,NA
"Malaysia","Sepang International Circuit, Malaysia",2006,"19 Mar 2006","Fernando","Alonso",1,"Renault","2",7,56,8,"1:30:45.114","4.585","4.58500003814697","1:34.803",210.487,"1:35.747",22,2,26,43,NA,NA,NA,NA,"25.455","24.441",NA,NA,NA,NA
"Malaysia","Sepang International Circuit, Malaysia",2006,"19 Mar 2006","Jenson","Button",12,"Honda","3",2,56,6,"1:30:50.160","9.631","5.0460000038147","1:35.604",208.723,"1:33.986",19,2,19,38,NA,NA,NA,NA,"26.023","26.325",NA,NA,NA,NA
"Malaysia","Sepang International Circuit, Malaysia",2006,"19 Mar 2006","JuanPablo","Montoya",4,"McLaren Mercedes","4",5,56,5,"1:31:19.880","39.351","29.7200000286102","1:35.566",208.806,"1:34.916",18,2,23,42,NA,NA,NA,NA,"26.518","25.467",NA,NA,NA,NA
"Malaysia","Sepang International Circuit, Malaysia",2006,"19 Mar 2006","Felipe","Massa",6,"Ferrari","5",21,56,4,"1:31:23.782","43.254","3.90199995040894","1:35.954",207.962,"",3,1,29,NA,NA,NA,NA,NA,"28.412",NA,NA,NA,NA,NA
"Malaysia","Sepang International Circuit, Malaysia",2006,"19 Mar 2006","Michael","Schumacher",5,"Ferrari","6",14,56,3,"1:31:24.383","43.854","0.60099983215332","1:35.647",208.629,"1:34.668",23,2,23,45,NA,NA,NA,NA,"30.135","25.614",NA,NA,NA,NA
"Malaysia","Sepang International Circuit, Malaysia",2006,"19 Mar 2006","Jacques","Villeneuve",17,"Sauber BMW","7",10,56,2,"1:32:00.990","80.461","36.6070001125336","1:36.002",207.858,"1:34.752",10,2,23,41,NA,NA,NA,NA,"27.015","25.341",NA,NA,NA,NA
"Malaysia","Sepang International Circuit, Malaysia",2006,"19 Mar 2006","Ralf","Schumacher",7,"Toyota","8",22,56,1,"1:32:01.817","81.288","0.82699990272522","1:35.686",208.544,"",10,3,13,22,38,NA,NA,NA,"27.796","28.675","28.431",NA,NA,NA
