"race","circuit","season","date","driver_name","driver","number","car","position","starting_grid","laps","points","time_total","time_from_leader","time_from_previous","fastest_lap","average_speed","qualify_time","qualify_lap","stop_total","stop_lap_1","stop_lap_2","stop_lap_3","stop_lap_4","stop_lap_5","stop_lap_6","stop_time_1","stop_time_2","stop_time_3","stop_time_4","stop_time_5","stop_time_6"
"Argentina","Autódromo Juan y Oscar Gálvez, Argentina",1975,"12 Jan 1975","Emerson","Fittipaldi",1,"McLaren Ford","1",5,53,9,"1:39:26.290",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Autódromo Juan y Oscar Gálvez, Argentina",1975,"12 Jan 1975","James","Hunt",24,"Hesketh Ford","2",6,53,6,"1:39:32.200","5.910","5.91000008583069","1:50.910",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Autódromo Juan y Oscar Gálvez, Argentina",1975,"12 Jan 1975","Carlos","Reutemann",7,"Brabham Ford","3",3,53,4,"1:39:43.349","17.060","11.1489999294281",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Autódromo Juan y Oscar Gálvez, Argentina",1975,"12 Jan 1975","Clay","Regazzoni",11,"Ferrari","4",7,53,3,"1:40:02.079","35.790","18.7300000190735",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Autódromo Juan y Oscar Gálvez, Argentina",1975,"12 Jan 1975","Patrick","Depailler",4,"Tyrrell Ford","5",8,53,2,"1:40:20.539","54.250","18.460000038147",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Autódromo Juan y Oscar Gálvez, Argentina",1975,"12 Jan 1975","Niki","Lauda",12,"Ferrari","6",4,53,1,"1:40:45.940","79.650","25.4010000228882",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Autódromo Juan y Oscar Gálvez, Argentina",1975,"12 Jan 1975","Mark","Donohue",28,"Penske Ford","7",16,52,0,"1","1","1",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Autódromo Juan y Oscar Gálvez, Argentina",1975,"12 Jan 1975","Jacky","Ickx",6,"Lotus Ford","8",18,52,0,"1","1","1",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Autódromo Juan y Oscar Gálvez, Argentina",1975,"12 Jan 1975","Vittorio","Brambilla",9,"March Ford","9",12,52,0,"1","1","1",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Autódromo Juan y Oscar Gálvez, Argentina",1975,"12 Jan 1975","Graham","Hill",22,"Lola Ford","10",21,52,0,"1","1","1",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Autódromo Juan y Oscar Gálvez, Argentina",1975,"12 Jan 1975","Jody","Scheckter",3,"Tyrrell Ford","11",9,52,0,"1","1","1",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Autódromo Juan y Oscar Gálvez, Argentina",1975,"12 Jan 1975","Tom","Pryce",16,"Shadow Ford","12",14,51,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Autódromo Juan y Oscar Gálvez, Argentina",1975,"12 Jan 1975","Rolf","Stommelen",23,"Lola Ford","13",19,51,0,"2","2","2",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
