"race","circuit","season","date","driver_name","driver","number","car","position","starting_grid","laps","points","time_total","time_from_leader","time_from_previous","fastest_lap","average_speed","qualify_time","qualify_lap","stop_total","stop_lap_1","stop_lap_2","stop_lap_3","stop_lap_4","stop_lap_5","stop_lap_6","stop_time_1","stop_time_2","stop_time_3","stop_time_4","stop_time_5","stop_time_6"
"Australia","Melbourne Grand Prix Circuit, Australia",2008,"16 Mar 2008","Lewis","Hamilton",22,"McLaren Mercedes","1",1,58,10,"1:34:50.616",NA,NA,"1:27.452",218.3,"1:26.714",14,2,18,43,NA,NA,NA,NA,"24.797","24.254",NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2008,"16 Mar 2008","Nick","Heidfeld",3,"Sauber BMW","2",5,58,8,"1:34:56.093","5.478","5.47699999809265","1:27.739",217.586,"1:27.236",16,2,21,44,NA,NA,NA,NA,"22.9","22.371",NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2008,"16 Mar 2008","Nico","Rosberg",7,"Williams Toyota","3",7,58,6,"1:34:58.779","8.163","2.68600010871887","1:28.090",216.719,"1:28.687",21,2,21,43,NA,NA,NA,NA,"24.146","22.873",NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2008,"16 Mar 2008","Fernando","Alonso",5,"Renault","4",11,58,5,"1:35:07.796","17.181","9.01699995994568","1:28.603",215.464,"1:26.188",10,2,29,47,NA,NA,NA,NA,"25.291","24.293",NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2008,"16 Mar 2008","Heikki","Kovalainen",23,"McLaren Mercedes","5",3,58,4,"1:35:08.629","18.014","0.83299994468689","1:27.418",218.385,"1:27.079",13,2,22,47,NA,NA,NA,NA,"24.446","25.195",NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2008,"16 Mar 2008","Kazuki","Nakajima",8,"Williams Toyota","6",13,57,3,"1","1","1","1:29.639",212.974,"1:26.413",13,3,1,29,48,NA,NA,NA,"31.811","26.892","58.458",NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2008,"16 Mar 2008","Sebastien","Bourdais",14,"STR Ferrari","7",17,55,2,NA,NA,NA,"1:29.534",213.224,"1:27.446",10,2,19,28,NA,NA,NA,NA,"28.762","26.371",NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2008,"16 Mar 2008","Kimi","Räikkönen",1,"Ferrari","8",15,53,1,NA,NA,NA,"1:27.903",217.18,"",3,1,31,NA,NA,NA,NA,NA,"25.414",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2008,"16 Mar 2008","Robert","Kubica",4,"Sauber BMW","NC",2,47,0,NA,NA,NA,"1:28.753",215.1,"1:26.869",15,2,16,29,NA,NA,NA,NA,"24.029","23.915",NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2008,"16 Mar 2008","Timo","Glock",12,"Toyota","NC",18,43,0,NA,NA,NA,"1:29.558",213.166,"1:29.593",17,1,29,NA,NA,NA,NA,NA,"28.75",NA,NA,NA,NA,NA
