"race","circuit","season","date","driver_name","driver","number","car","position","starting_grid","laps","points","time_total","time_from_leader","time_from_previous","fastest_lap","average_speed","qualify_time","qualify_lap","stop_total","stop_lap_1","stop_lap_2","stop_lap_3","stop_lap_4","stop_lap_5","stop_lap_6","stop_time_1","stop_time_2","stop_time_3","stop_time_4","stop_time_5","stop_time_6"
"Australia","Melbourne Grand Prix Circuit, Australia",1998,"08 Mar 1998","Mika","Hakkinen",8,"McLaren Mercedes","1",1,58,10,"1:31:45.996",NA,NA,"1:31.649",208.303,"1:30.010",10,3,24,36,40,NA,NA,NA,"23.546","11.242","26.981",NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1998,"08 Mar 1998","David","Coulthard",7,"McLaren Mercedes","2",2,58,6,"1:31:46.697","0.702","0.700999975204468","1:32.356",206.708,"1:30.053",10,2,25,42,NA,NA,NA,NA,"23.319","21.931",NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1998,"08 Mar 1998","Heinz-Harald","Frentzen",2,"Williams Mecachrome","3",6,57,4,"1","1","1","1:33.554",204.061,"1:31.397",12,1,33,NA,NA,NA,NA,NA,"24.314",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1998,"08 Mar 1998","Eddie","Irvine",4,"Ferrari","4",8,57,3,"1","1","1","1:33.790",203.548,"1:31.767",11,1,33,NA,NA,NA,NA,NA,"29.968",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1998,"08 Mar 1998","Jacques","Villeneuve",1,"Williams Mecachrome","5",4,57,2,"1","1","1","1:35.661",199.567,"1:30.919",12,1,28,NA,NA,NA,NA,NA,"26.102",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1998,"08 Mar 1998","Johnny","Herbert",15,"Sauber Petronas","6",5,57,1,"1","1","1","1:35.624",199.644,"1:31.384",12,1,27,NA,NA,NA,NA,NA,"27.977",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1998,"08 Mar 1998","Alexander","Wurz",6,"Benetton Playlife","7",11,57,0,"1","1","1","1:34.738",201.511,"1:32.726",9,2,20,36,NA,NA,NA,NA,"22.398","25.529",NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1998,"08 Mar 1998","Damon","Hill",9,"Jordan Mugen Honda","8",10,57,0,"1","1","1","1:34.196",202.671,"1:32.399",12,2,19,39,NA,NA,NA,NA,"26.976","24.907",NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1998,"08 Mar 1998","Olivier","Panis",11,"Prost Peugeot","9",21,57,0,"1","1","1","1:34.319",202.406,"1:35.215",12,1,28,NA,NA,NA,NA,NA,"27.245",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1998,"08 Mar 1998","Giancarlo","Fisichella",5,"Benetton Playlife","NC",7,43,0,NA,NA,NA,"1:34.319",202.406,"1:31.733",12,2,22,41,NA,NA,NA,NA,"22.885","23.775",NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1998,"08 Mar 1998","Jean","Alesi",14,"Sauber Petronas","NC",12,41,0,NA,NA,NA,"1:34.878",201.214,"1:33.240",11,1,29,NA,NA,NA,NA,NA,"27.278",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1998,"08 Mar 1998","Jarno","Trulli",12,"Prost Peugeot","NC",15,26,0,NA,NA,NA,"1:34.885",201.199,"1:33.739",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1998,"08 Mar 1998","Ricardo","Rosset",20,"Tyrrell Ford","NC",19,25,0,NA,NA,NA,"1:38.116",194.573,"1:35.119",11,1,18,NA,NA,NA,NA,NA,"26.533",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1998,"08 Mar 1998","Mika","Salo",17,"Arrows","NC",16,23,0,NA,NA,NA,"1:36.032",198.796,"1:33.927",8,1,19,NA,NA,NA,NA,NA,"25.448",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1998,"08 Mar 1998","Esteban","Tuero",23,"Minardi Ford","NC",17,22,0,NA,NA,NA,"1:36.475",197.883,"1:34.646",12,2,12,18,NA,NA,NA,NA,"26.182","31.836",NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1998,"08 Mar 1998","Shinji","Nakano",22,"Minardi Ford","NC",22,8,0,NA,NA,NA,"1:39.676",191.528,"1:35.301",12,1,8,NA,NA,NA,NA,NA,"1:07.593",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1998,"08 Mar 1998","Michael","Schumacher",3,"Ferrari","NC",3,5,0,NA,NA,NA,"1:35.774",199.331,"1:30.767",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1998,"08 Mar 1998","Pedro","Diniz",16,"Arrows","NC",20,2,0,NA,NA,NA,"1:39.916",191.068,"1:35.140",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1998,"08 Mar 1998","Ralf","Schumacher",10,"Jordan Mugen Honda","NC",9,1,0,NA,NA,NA,NA,NA,"1:32.392",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1998,"08 Mar 1998","Jan","Magnussen",19,"Stewart Ford","NC",18,1,0,NA,NA,NA,NA,NA,"1:34.906",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1998,"08 Mar 1998","Toranosuke","Takagi",21,"Tyrrell Ford","NC",13,1,0,NA,NA,NA,NA,NA,"1:33.291",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",1998,"08 Mar 1998","Rubens","Barrichello",18,"Stewart Ford","NC",14,0,0,NA,NA,NA,NA,NA,"1:33.383",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",1998,"29 Mar 1998","Mika","Hakkinen",8,"McLaren Mercedes","1",1,72,10,"1:37:11.747",NA,NA,"1:19.337",194.754,"1:17.092",8,1,39,NA,NA,NA,NA,NA,"37.402",NA,NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",1998,"29 Mar 1998","David","Coulthard",7,"McLaren Mercedes","2",2,72,6,"1:37:12.848","1.102","1.1010000705719","1:19.646",193.998,"1:17.757",9,1,36,NA,NA,NA,NA,NA,"35.893",NA,NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",1998,"29 Mar 1998","Michael","Schumacher",3,"Ferrari","3",4,72,4,"1:38:12.296","60.550","59.4479999542236","1:19.627",194.044,"1:18.250",12,2,26,53,NA,NA,NA,NA,"33.656","38.45",NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",1998,"29 Mar 1998","Alexander","Wurz",6,"Benetton Playlife","4",5,72,3,"1:38:19.200","67.453","6.90400004386902","1:19.863",193.471,"1:18.261",12,1,46,NA,NA,NA,NA,NA,"34.914",NA,NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",1998,"29 Mar 1998","Heinz-Harald","Frentzen",2,"Williams Mecachrome","5",3,71,2,"1","1","1","1:20.271",192.487,"1:18.109",12,2,27,45,NA,NA,NA,NA,"33.455","33.532",NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",1998,"29 Mar 1998","Giancarlo","Fisichella",5,"Benetton Playlife","6",7,71,1,"1","1","1","1:20.010",193.115,"1:18.652",9,1,47,NA,NA,NA,NA,NA,"33.805",NA,NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",1998,"29 Mar 1998","Jacques","Villeneuve",1,"Williams Mecachrome","7",10,71,0,"1","1","1","1:20.129",192.829,"1:18.761",11,2,29,48,NA,NA,NA,NA,"34.602","33.185",NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",1998,"29 Mar 1998","Eddie","Irvine",4,"Ferrari","8",6,71,0,"1","1","1","1:20.378",192.231,"1:18.449",12,2,27,55,NA,NA,NA,NA,"33.938","33.307",NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",1998,"29 Mar 1998","Jean","Alesi",14,"Sauber Petronas","9",15,71,0,"1","1","1","1:20.623",191.647,"1:19.449",12,1,42,NA,NA,NA,NA,NA,"35.265",NA,NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",1998,"29 Mar 1998","Jan","Magnussen",19,"Stewart Ford","10",16,70,0,"2","2","2","1:20.991",190.776,"1:19.644",12,2,24,49,NA,NA,NA,NA,"41.362","39.58",NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",1998,"29 Mar 1998","Johnny","Herbert",15,"Sauber Petronas","11",14,67,0,NA,NA,NA,"1:21.456",189.687,"1:19.375",12,1,41,NA,NA,NA,NA,NA,"36.519",NA,NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",1998,"29 Mar 1998","Olivier","Panis",11,"Prost Peugeot","NC",9,63,0,NA,NA,NA,"1:20.449",192.062,"1:18.753",12,1,43,NA,NA,NA,NA,NA,"39.871",NA,NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",1998,"29 Mar 1998","Rubens","Barrichello",18,"Stewart Ford","NC",13,56,0,NA,NA,NA,"1:21.758",188.987,"1:19.344",12,1,36,NA,NA,NA,NA,NA,"41.078",NA,NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",1998,"29 Mar 1998","Ricardo","Rosset",20,"Tyrrell Ford","NC",21,52,0,NA,NA,NA,"1:23.342",185.395,"1:20.748",11,2,22,48,NA,NA,NA,NA,"37.063","39.146",NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",1998,"29 Mar 1998","Esteban","Tuero",23,"Minardi Ford","NC",19,44,0,NA,NA,NA,"1:23.293",185.504,"1:20.459",11,1,40,NA,NA,NA,NA,NA,"41.452",NA,NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",1998,"29 Mar 1998","Pedro","Diniz",16,"Arrows","NC",22,26,0,NA,NA,NA,"1:22.969",186.228,"1:20.847",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",1998,"29 Mar 1998","Toranosuke","Takagi",21,"Tyrrell Ford","NC",17,19,0,NA,NA,NA,"1:23.226",185.653,"1:20.203",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",1998,"29 Mar 1998","Mika","Salo",17,"Arrows","NC",20,18,0,NA,NA,NA,"1:23.565",184.9,"1:20.481",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",1998,"29 Mar 1998","Jarno","Trulli",12,"Prost Peugeot","NC",12,17,0,NA,NA,NA,"1:22.933",186.309,"1:19.069",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",1998,"29 Mar 1998","Shinji","Nakano",22,"Minardi Ford","NC",18,3,0,NA,NA,NA,"1:24.475",182.908,"1:20.390",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Autódromo José Carlos Pace, Brazil",1998,"29 Mar 1998","Ralf","Schumacher",10,"Jordan Mugen Honda","NC",8,0,0,NA,NA,NA,NA,NA,"1:18.735",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Autódromo Juan y Oscar Gálvez, Argentina",1998,"12 Apr 1998","Michael","Schumacher",3,"Ferrari","1",2,72,10,"1:48:36.175",NA,NA,"1:28.272",173.694,"1:26.251",12,2,28,53,NA,NA,NA,NA,"25.999","24.472",NA,NA,NA,NA
"Argentina","Autódromo Juan y Oscar Gálvez, Argentina",1998,"12 Apr 1998","Mika","Hakkinen",8,"McLaren Mercedes","2",3,72,6,"1:48:59.073","22.899","22.8980000019073","1:28.261",173.716,"1:26.632",12,1,42,NA,NA,NA,NA,NA,"26.241",NA,NA,NA,NA,NA
"Argentina","Autódromo Juan y Oscar Gálvez, Argentina",1998,"12 Apr 1998","Eddie","Irvine",4,"Ferrari","3",4,72,4,"1:49:33.919","57.745","34.845999956131","1:28.933",172.403,"1:26.780",11,2,29,55,NA,NA,NA,NA,"25.762","24.760",NA,NA,NA,NA
