"race","circuit","season","date","driver_name","driver","number","car","position","starting_grid","laps","points","time_total","time_from_leader","time_from_previous","fastest_lap","average_speed","qualify_time","qualify_lap","stop_total","stop_lap_1","stop_lap_2","stop_lap_3","stop_lap_4","stop_lap_5","stop_lap_6","stop_time_1","stop_time_2","stop_time_3","stop_time_4","stop_time_5","stop_time_6"
"South Africa","Kyalami Grand Prix Circuit, South Africa",1971,"06 Mar 1971","Mario","Andretti",6,"Ferrari","1",4,79,9,"1:47:35.500",NA,NA,"1:20.300",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Kyalami Grand Prix Circuit, South Africa",1971,"06 Mar 1971","Jackie","Stewart",9,"Tyrrell Ford","2",1,79,6,"1:47:56.400","20.900","20.9000000953674",NA,NA,"1:17.800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Kyalami Grand Prix Circuit, South Africa",1971,"06 Mar 1971","Clay","Regazzoni",5,"Ferrari","3",3,79,4,"1:48:06.900","31.400","10.5",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Kyalami Grand Prix Circuit, South Africa",1971,"06 Mar 1971","Reine","Wisell",3,"Lotus Ford","4",14,79,3,"1:48:44.900","69.400","38",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Kyalami Grand Prix Circuit, South Africa",1971,"06 Mar 1971","Chris","Amon",19,"Matra","5",2,78,2,"1","1","1",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Kyalami Grand Prix Circuit, South Africa",1971,"06 Mar 1971","Denny","Hulme",11,"McLaren Ford","6",7,78,1,"1","1","1",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Kyalami Grand Prix Circuit, South Africa",1971,"06 Mar 1971","Brian","Redman",28,"Surtees Ford","7",17,78,0,"1","1","1",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Kyalami Grand Prix Circuit, South Africa",1971,"06 Mar 1971","Jacky","Ickx",4,"Ferrari","8",8,78,0,"1","1","1",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Kyalami Grand Prix Circuit, South Africa",1971,"06 Mar 1971","Graham","Hill",14,"Brabham Ford","9",19,77,0,"2","2","2",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Kyalami Grand Prix Circuit, South Africa",1971,"06 Mar 1971","Ronnie","Peterson",7,"March Ford","10",13,77,0,"2","2","2",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Kyalami Grand Prix Circuit, South Africa",1971,"06 Mar 1971","Henri","Pescarolo",22,"March Ford","11",18,77,0,"2","2","2",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Kyalami Grand Prix Circuit, South Africa",1971,"06 Mar 1971","Rolf","Stommelen",21,"Surtees Ford","12",15,77,0,"2","2","2",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Kyalami Grand Prix Circuit, South Africa",1971,"06 Mar 1971","Andrea","deAdamich",8,"March Alfa Romeo","13",22,75,0,"4","4","4",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Kyalami Grand Prix Circuit, South Africa",1971,"06 Mar 1971","Emerson","Fittipaldi",2,"Lotus Ford","NC",5,58,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Kyalami Grand Prix Circuit, South Africa",1971,"06 Mar 1971","John","Surtees",20,"Surtees Ford","NC",6,56,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
