"race","circuit","season","date","driver_name","driver","number","car","position","starting_grid","laps","points","time_total","time_from_leader","time_from_previous","fastest_lap","average_speed","qualify_time","qualify_lap","stop_total","stop_lap_1","stop_lap_2","stop_lap_3","stop_lap_4","stop_lap_5","stop_lap_6","stop_time_1","stop_time_2","stop_time_3","stop_time_4","stop_time_5","stop_time_6"
"Australia","Melbourne Grand Prix Circuit, Australia",2011,"27 Mar 2011","Sebastian","Vettel",1,"Red Bull Racing Renault","1",1,58,25,"1:29:30.259",NA,NA,"1:29.844",212.488,"1:23.529",16,2,14,36,NA,NA,NA,NA,"22.603","24.036",NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2011,"27 Mar 2011","Lewis","Hamilton",3,"McLaren Mercedes","2",2,58,18,"1:29:52.555","22.297","22.2960000038147","1:30.314",211.382,"1:24.307",19,2,16,36,NA,NA,NA,NA,"23.227","23.199",NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2011,"27 Mar 2011","Vitaly","Petrov",10,"Renault","3",6,58,15,"1:30:00.819","30.560","8.26399993896484","1:30.064",211.969,"1:25.247",18,2,16,36,NA,NA,NA,NA,"24.535","25.683",NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2011,"27 Mar 2011","Fernando","Alonso",5,"Ferrari","4",5,58,12,"1:30:02.031","31.772","1.21199989318848","1:29.487",213.336,"1:24.974",19,3,12,27,42,NA,NA,NA,"23.251","24.733","24.181",NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2011,"27 Mar 2011","Mark","Webber",2,"Red Bull Racing Renault","5",3,58,10,"1:30:08.430","38.171","6.39900016784668","1:29.600",213.066,"1:24.395",15,3,11,26,41,NA,NA,NA,"23.426","22.520","26.230",NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2011,"27 Mar 2011","Jenson","Button",4,"McLaren Mercedes","6",4,58,8,"1:30:24.562","54.304","16.1319999694824","1:29.883",212.396,"1:24.779",18,3,17,19,37,NA,NA,NA,"16.867","23.303","22.681",NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2011,"27 Mar 2011","Sergio","Perez",17,"Sauber Ferrari","DQ",13,58,0,"1:30:36.104","65.845","11.5420000553131","1:29.962",212.209,"1:26.108",9,1,23,NA,NA,NA,NA,NA,"23.438",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2011,"27 Mar 2011","Kamui","Kobayashi",16,"Sauber Ferrari","DQ",9,58,0,"1:30:47.131","76.872","11.0269999504089","1:30.384",211.218,"1:25.626",17,2,16,32,NA,NA,NA,NA,"24.064","24.192",NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2011,"27 Mar 2011","Felipe","Massa",6,"Ferrari","7",8,58,6,"1:30:55.445","85.186","8.31399989128113","1:28.947",214.631,"1:25.599",18,3,13,31,48,NA,NA,NA,"23.842","24.500","24.095",NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2011,"27 Mar 2011","Sebastien","Buemi",18,"STR Ferrari","8",10,57,4,"1","1","1","1:30.836",210.167,"1:27.066",15,2,15,29,NA,NA,NA,NA,"25.342","23.100",NA,NA,NA,NA
