"race","circuit","season","date","driver_name","driver","number","car","position","starting_grid","laps","points","time_total","time_from_leader","time_from_previous","fastest_lap","average_speed","qualify_time","qualify_lap","stop_total","stop_lap_1","stop_lap_2","stop_lap_3","stop_lap_4","stop_lap_5","stop_lap_6","stop_time_1","stop_time_2","stop_time_3","stop_time_4","stop_time_5","stop_time_6"
"Australia","Melbourne Grand Prix Circuit, Australia",2001,"04 Mar 2001","Michael","Schumacher",1,"Ferrari","1",1,58,10,"1:38:26.533",NA,NA,"1:28.214",216.414,"1:26.892",10,1,37,NA,NA,NA,NA,NA,"28.717",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2001,"04 Mar 2001","David","Coulthard",4,"McLaren Mercedes","2",6,58,6,"1:38:28.250","1.718","1.71700000762939","1:28.838",214.894,"1:28.010",12,1,41,NA,NA,NA,NA,NA,"28.516",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2001,"04 Mar 2001","Rubens","Barrichello",2,"Ferrari","3",2,58,4,"1:39:00.023","33.491","31.7730000019073","1:29.060",214.358,"1:27.263",11,1,39,NA,NA,NA,NA,NA,"28.658",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2001,"04 Mar 2001","Nick","Heidfeld",16,"Sauber Petronas","4",10,58,3,"1:39:38.012","71.479","37.989000082016","1:30.317",211.375,"1:28.615",11,1,37,NA,NA,NA,NA,NA,"28.247",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2001,"04 Mar 2001","Heinz-Harald","Frentzen",11,"Jordan Honda","5",4,58,2,"1:39:39.339","72.807","1.32699990272522","1:30.266",211.494,"1:27.658",10,1,37,NA,NA,NA,NA,NA,"28.142",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2001,"04 Mar 2001","Kimi","Räikkönen",17,"Sauber Petronas","6",13,58,1,"1:39:50.675","84.143","11.3359999656677","1:30.229",211.581,"1:28.993",12,1,36,NA,NA,NA,NA,NA,"29.246",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2001,"04 Mar 2001","Olivier","Panis",9,"BAR Honda","7",9,58,0,"1:39:53.582","87.050","2.90700006484985","1:30.199",211.652,"1:28.518",11,1,40,NA,NA,NA,NA,NA,"28.763",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2001,"04 Mar 2001","Luciano","Burti",19,"Jaguar Cosworth","8",21,57,0,"1","1","1","1:30.903",210.012,"1:30.978",7,1,36,NA,NA,NA,NA,NA,"30.202",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2001,"04 Mar 2001","Jean","Alesi",22,"Prost Acer","9",14,57,0,"1","1","1","1:31.030",209.719,"1:29.893",11,1,35,NA,NA,NA,NA,NA,"29.025",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2001,"04 Mar 2001","Jos","Verstappen",14,"Arrows Asiatech","10",15,57,0,"1","1","1","1:31.999",207.51,"1:29.934",11,2,14,38,NA,NA,NA,NA,"28.519","29.084",NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2001,"04 Mar 2001","Eddie","Irvine",18,"Jaguar Cosworth","11",12,57,0,"1","1","1","1:31.267",209.175,"1:28.965",10,2,39,50,NA,NA,NA,NA,"28.852","32.568",NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2001,"04 Mar 2001","Fernando","Alonso",21,"Minardi European","12",19,56,0,"2","2","2","1:32.043",207.411,"1:30.657",12,2,32,41,NA,NA,NA,NA,"28.632","29.17",NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2001,"04 Mar 2001","Giancarlo","Fisichella",7,"Benetton Renault","13",17,55,0,"3","3","3","1:32.407",206.594,"1:30.209",10,2,26,50,NA,NA,NA,NA,"30.358","25.972",NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2001,"04 Mar 2001","Jenson","Button",8,"Benetton Renault","14",16,52,0,NA,NA,NA,"1:32.001",207.506,"1:30.035",12,2,18,32,NA,NA,NA,NA,"30.061","30.919",NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2001,"04 Mar 2001","JuanPablo","Montoya",6,"Williams BMW","NC",11,40,0,NA,NA,NA,"1:29.606",213.052,"1:28.738",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2001,"04 Mar 2001","Jarno","Trulli",12,"Jordan Honda","NC",7,38,0,NA,NA,NA,"1:30.432",211.106,"1:28.377",11,1,33,NA,NA,NA,NA,NA,"32.295",NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2001,"04 Mar 2001","Mika","Hakkinen",3,"McLaren Mercedes","NC",3,25,0,NA,NA,NA,"1:29.612",213.038,"1:27.461",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","Melbourne Grand Prix Circuit, Australia",2001,"04 Mar 2001","Ralf","Schumacher",5,"Williams BMW","NC",5,4,0,NA,NA,NA,"1:34.406",202.22,"1:27.719",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
