"race","circuit","season","date","driver_name","driver","number","car","position","starting_grid","laps","points","time_total","time_from_leader","time_from_previous","fastest_lap","average_speed","qualify_time","qualify_lap","stop_total","stop_lap_1","stop_lap_2","stop_lap_3","stop_lap_4","stop_lap_5","stop_lap_6","stop_time_1","stop_time_2","stop_time_3","stop_time_4","stop_time_5","stop_time_6"
"South Africa","Prince George Circuit, South Africa",1965,"01 Jan 1965","Jim","Clark",5,"Lotus Climax","1",1,85,9,"2:06:46.000",NA,NA,"1:27.600",NA,"1:27.200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Prince George Circuit, South Africa",1965,"01 Jan 1965","John","Surtees",1,"Ferrari","2",2,85,6,"2:07:15.000","29.000","29",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Prince George Circuit, South Africa",1965,"01 Jan 1965","Graham","Hill",3,"BRM","3",5,85,4,"2:07:17.799","31.800","2.79900002479553",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Prince George Circuit, South Africa",1965,"01 Jan 1965","Mike","Spence",6,"Lotus Climax","4",4,85,3,"2:07:40.400","54.400","22.6010000705719",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Prince George Circuit, South Africa",1965,"01 Jan 1965","Bruce","McLaren",9,"Cooper Climax","5",8,84,2,"1","1","1",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Prince George Circuit, South Africa",1965,"01 Jan 1965","Jackie","Stewart",4,"BRM","6",11,83,1,"2","2","2",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Prince George Circuit, South Africa",1965,"01 Jan 1965","Jo","Siffert",12,"Brabham BRM","7",14,83,0,"2","2","2",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Prince George Circuit, South Africa",1965,"01 Jan 1965","Jack","Brabham",7,"Brabham Climax","8",3,81,0,"4","4","4",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Prince George Circuit, South Africa",1965,"01 Jan 1965","Paul","Hawkins",18,"Brabham Ford","9",16,81,0,"4","4","4",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Prince George Circuit, South Africa",1965,"01 Jan 1965","Peter","deKlerk",20,"Alfa Romeo","10",17,79,0,"6","6","6",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Prince George Circuit, South Africa",1965,"01 Jan 1965","Tony","Maggs",15,"Lotus BRM","11",13,77,0,"8","8","8",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Prince George Circuit, South Africa",1965,"01 Jan 1965","Frank","Gardner",16,"Brabham BRM","12",15,75,0,"1","1","1",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Prince George Circuit, South Africa",1965,"01 Jan 1965","Sam","Tingle",25,"LDS Alfa Romeo","13",20,73,0,"1","1","1",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Prince George Circuit, South Africa",1965,"01 Jan 1965","David","Prophet",19,"Brabham Ford","14",19,71,0,"1","1","1",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Prince George Circuit, South Africa",1965,"01 Jan 1965","Lorenzo","Bandini",2,"Ferrari","15",6,66,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Prince George Circuit, South Africa",1965,"01 Jan 1965","Bob","Anderson",14,"Brabham Climax","NC",12,50,0,"3","3","3",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Prince George Circuit, South Africa",1965,"01 Jan 1965","Jo","Bonnier",11,"Brabham Climax","NC",7,42,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Prince George Circuit, South Africa",1965,"01 Jan 1965","Jochen","Rindt",10,"Cooper Climax","NC",10,39,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Prince George Circuit, South Africa",1965,"01 Jan 1965","John","Love",17,"Cooper Climax","NC",18,20,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South Africa","Prince George Circuit, South Africa",1965,"01 Jan 1965","Dan","Gurney",8,"Brabham Climax","NC",9,11,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monaco","Circuit de Monaco, Monaco",1965,"30 May 1965","Graham","Hill",3,"BRM","1",1,100,9,"2:37:39.600",NA,NA,"1:31.700",NA,"1:32.500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monaco","Circuit de Monaco, Monaco",1965,"30 May 1965","Lorenzo","Bandini",17,"Ferrari","2",4,100,6,"2:38:43.599","64.000","1.06665000120799",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monaco","Circuit de Monaco, Monaco",1965,"30 May 1965","Jackie","Stewart",4,"BRM","3",3,100,4,"2:39:21.500","101.900","37.9010000228882",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monaco","Circuit de Monaco, Monaco",1965,"30 May 1965","John","Surtees",18,"Ferrari","4",5,99,3,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monaco","Circuit de Monaco, Monaco",1965,"30 May 1965","Bruce","McLaren",7,"Cooper Climax","5",7,98,2,"2","2","2",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monaco","Circuit de Monaco, Monaco",1965,"30 May 1965","Jo","Siffert",14,"Brabham BRM","6",10,98,1,"2","2","2",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monaco","Circuit de Monaco, Monaco",1965,"30 May 1965","Jo","Bonnier",12,"Brabham Climax","7",13,97,0,"3","3","3",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monaco","Circuit de Monaco, Monaco",1965,"30 May 1965","Denny","Hulme",2,"Brabham Climax","8",8,92,0,"8","8","8",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monaco","Circuit de Monaco, Monaco",1965,"30 May 1965","Bob","Anderson",9,"Brabham Climax","9",9,85,0,"1","1","1",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monaco","Circuit de Monaco, Monaco",1965,"30 May 1965","Paul","Hawkins",10,"Lotus Climax","10",14,79,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monaco","Circuit de Monaco, Monaco",1965,"30 May 1965","Jack","Brabham",1,"Brabham Climax","NC",2,43,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monaco","Circuit de Monaco, Monaco",1965,"30 May 1965","Richard","Attwood",15,"Lotus BRM","NC",6,43,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monaco","Circuit de Monaco, Monaco",1965,"30 May 1965","Ronnie","Bucknum",19,"Honda","NC",15,33,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monaco","Circuit de Monaco, Monaco",1965,"30 May 1965","Frank","Gardner",11,"Brabham BRM","NC",11,29,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monaco","Circuit de Monaco, Monaco",1965,"30 May 1965","Mike","Hailwood",16,"Lotus BRM","NC",12,11,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Monaco","Circuit de Monaco, Monaco",1965,"30 May 1965","Richie","Ginther",20,"Honda","NC",16,1,0,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium","Circuit de Spa-Francorchamps, Belgium",1965,"13 Jun 1965","Jim","Clark",17,"Lotus Climax","1",2,32,9,"2:23:34.800",NA,NA,"4:12.900",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium","Circuit de Spa-Francorchamps, Belgium",1965,"13 Jun 1965","Jackie","Stewart",8,"BRM","2",3,32,6,"2:24:19.599","44.800","44.7990000247955",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium","Circuit de Spa-Francorchamps, Belgium",1965,"13 Jun 1965","Bruce","McLaren",4,"Cooper Climax","3",9,31,4,"1","1","1",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium","Circuit de Spa-Francorchamps, Belgium",1965,"13 Jun 1965","Jack","Brabham",14,"Brabham Climax","4",10,31,3,"1","1","1",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
